"url","source","type","category","indexability","canonical","status","notes"
"/","src/App.tsx","homepage","","INDEX","https://usonlinetools.com","200","Canonical Homepage"
"/about","src/App.tsx","trust","","INDEX","https://usonlinetools.com/about","200","About & Mission page"
"/privacy-policy","src/App.tsx","trust","","INDEX","https://usonlinetools.com/privacy-policy","200","Privacy Policy page"
"/terms-of-service","src/App.tsx","trust","","INDEX","https://usonlinetools.com/terms-of-service","200","Terms of Service page"
"/404.html","scripts/build-static-seo-pages.cjs","error","","NOINDEX","","404","Custom 404 Error page"
"/category/math","src/App.tsx","category","Math & Calculators","INDEX","https://usonlinetools.com/category/math","200","Topical Category Hub (30 tools)"
"/category/finance","src/App.tsx","category","Finance & Cost","INDEX","https://usonlinetools.com/category/finance","200","Topical Category Hub (40 tools)"
"/category/conversion","src/App.tsx","category","Conversion Tools","INDEX","https://usonlinetools.com/category/conversion","200","Topical Category Hub (32 tools)"
"/category/time-date","src/App.tsx","category","Time & Date","INDEX","https://usonlinetools.com/category/time-date","200","Topical Category Hub (32 tools)"
"/category/health","src/App.tsx","category","Health & Fitness","INDEX","https://usonlinetools.com/category/health","200","Topical Category Hub (34 tools)"
"/category/construction","src/App.tsx","category","Construction & DIY","INDEX","https://usonlinetools.com/category/construction","200","Topical Category Hub (34 tools)"
"/category/productivity","src/App.tsx","category","Productivity & Text","INDEX","https://usonlinetools.com/category/productivity","200","Topical Category Hub (25 tools)"
"/category/education","src/App.tsx","category","Student & Education","INDEX","https://usonlinetools.com/category/education","200","Topical Category Hub (31 tools)"
"/category/gaming","src/App.tsx","category","Gaming Calculators","INDEX","https://usonlinetools.com/category/gaming","200","Topical Category Hub (16 tools)"
"/category/image","src/App.tsx","category","Image Tools","INDEX","https://usonlinetools.com/category/image","200","Topical Category Hub (20 tools)"
"/category/pdf","src/App.tsx","category","PDF Tools","INDEX","https://usonlinetools.com/category/pdf","200","Topical Category Hub (16 tools)"
"/category/developer","src/App.tsx","category","Developer Tools","INDEX","https://usonlinetools.com/category/developer","200","Topical Category Hub (33 tools)"
"/category/css-design","src/App.tsx","category","CSS & Design Tools","INDEX","https://usonlinetools.com/category/css-design","200","Topical Category Hub (18 tools)"
"/category/seo","src/App.tsx","category","SEO Tools","INDEX","https://usonlinetools.com/category/seo","200","Topical Category Hub (13 tools)"
"/category/security","src/App.tsx","category","Security & Encryption","INDEX","https://usonlinetools.com/category/security","200","Topical Category Hub (15 tools)"
"/category/social-media","src/App.tsx","category","Social Media Tools","INDEX","https://usonlinetools.com/category/social-media","200","Topical Category Hub (11 tools)"
"/yuzde-hesaplama","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/yuzde-hesaplama","200","Fully localized hero tool page"
"/ar/hesab-alomr","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/ar/hesab-alomr","200","Fully localized hero tool page"
"/ar/tahweel-altareekh","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/ar/tahweel-altareekh","200","Fully localized hero tool page"
"/calculadora-juros-compostos","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/calculadora-juros-compostos","200","Fully localized hero tool page"
"/kalkulator-umur","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/kalkulator-umur","200","Fully localized hero tool page"
"/kdv-hesaplama","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/kdv-hesaplama","200","Fully localized hero tool page"
"/calculo-rescisao","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/calculo-rescisao","200","Fully localized hero tool page"
"/calculo-ferias","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/calculo-ferias","200","Fully localized hero tool page"
"/kidem-tazminati-hesaplama","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/kidem-tazminati-hesaplama","200","Fully localized hero tool page"
"/kalkulator-vat","src/App.tsx","localized_tool","","INDEX","https://usonlinetools.com/kalkulator-vat","200","Fully localized hero tool page"
"/math/online-percentage-calculator","src/data/tools.ts","tool","Math & Calculators","INDEX","https://usonlinetools.com/math/online-percentage-calculator","200","Canonical Tool page (Percentage Calculator)"
"/math/fraction-to-decimal-calculator","src/data/tools.ts","tool","Math & Calculators","INDEX","https://usonlinetools.com/math/fraction-to-decimal-calculator","200","Canonical Tool page (Fraction to Decimal Calculator)"
"/math/decimal-to-fraction-calculator","src/data/tools.ts","tool","Math & Calculators","INDEX","https://usonlinetools.com/math/decimal-to-fraction-calculator","200","Canonical Tool page (Decimal to Fraction Calculator)"
