"old_url","new_url","reason","status","tested"
"/calculators/ovulation-calculator","/calculators/ovulation-calculator/","Legacy /calculators/ path alias","301","YES"
"/conversion/area-converter","/conversion/online-area-converter","Category alias / non-canonical slug","301","YES"
"/conversion/binary-to-decimal-converter","/conversion/online-binary-to-decimal-converter","Category alias / non-canonical slug","301","YES"
"/conversion/cooking-converter","/conversion/online-cooking-converter","Category alias / non-canonical slug","301","YES"
"/conversion/length-converter","/conversion/online-length-converter","Category alias / non-canonical slug","301","YES"
"/conversion/roman-numeral-converter","/conversion/online-roman-numeral-converter","Category alias / non-canonical slug","301","YES"
"/conversion/shoe-size-converter","/conversion/online-shoe-size-converter","Category alias / non-canonical slug","301","YES"
"/conversion/speed-converter","/conversion/online-speed-converter","Category alias / non-canonical slug","301","YES"
"/conversion/temperature-converter","/conversion/online-temperature-converter","Category alias / non-canonical slug","301","YES"
"/conversion/volume-converter","/conversion/online-volume-converter","Category alias / non-canonical slug","301","YES"
"/conversion/weight-converter","/conversion/online-weight-converter","Category alias / non-canonical slug","301","YES"
"/css-design/color-picker","/css-design/color-picker-tool","Category alias / non-canonical slug","301","YES"
"/developer/base64-encoder-decoder","/productivity/base64-encoder-decoder","Category alias / non-canonical slug","301","YES"
"/developer/css-formatter","/developer/online-css-formatter","Category alias / non-canonical slug","301","YES"
"/developer/css-minifier","/developer/online-css-minifier","Category alias / non-canonical slug","301","YES"
"/developer/csv-to-json","/developer/csv-to-json-converter","Category alias / non-canonical slug","301","YES"
"/developer/diff-checker","/developer/text-diff-checker","Category alias / non-canonical slug","301","YES"
"/developer/hash-generator","/developer/online-hash-generator","Category alias / non-canonical slug","301","YES"
"/developer/html-formatter","/developer/online-html-formatter","Category alias / non-canonical slug","301","YES"
"/developer/html-minifier","/developer/online-html-minifier","Category alias / non-canonical slug","301","YES"
"/developer/javascript-formatter","/developer/online-javascript-formatter","Category alias / non-canonical slug","301","YES"
"/developer/javascript-minifier","/developer/online-javascript-minifier","Category alias / non-canonical slug","301","YES"
"/developer/json-formatter","/productivity/json-formatter","Category alias / non-canonical slug","301","YES"
"/developer/json-path-tester","/developer/online-json-path-tester","Category alias / non-canonical slug","301","YES"
"/developer/json-to-csv","/developer/online-json-to-csv","Category alias / non-canonical slug","301","YES"
"/developer/json-validator","/developer/online-json-validator","Category alias / non-canonical slug","301","YES"
"/developer/jwt-decoder","/developer/online-jwt-decoder","Category alias / non-canonical slug","301","YES"
"/developer/lorem-ipsum-generator","/developer/online-lorem-ipsum-generator","Category alias / non-canonical slug","301","YES"
"/developer/markdown-previewer","/developer/online-markdown-previewer","Category alias / non-canonical slug","301","YES"
"/developer/online-base64-encoder-decoder","/productivity/base64-encoder-decoder","Category alias / non-canonical slug","301","YES"
"/developer/regex-tester","/developer/online-regex-tester","Category alias / non-canonical slug","301","YES"
"/developer/slug-generator","/developer/url-slug-generator","Category alias / non-canonical slug","301","YES"
"/developer/sql-formatter","/developer/online-sql-formatter","Category alias / non-canonical slug","301","YES"
"/developer/unix-timestamp-converter","/developer/online-unix-timestamp-converter","Category alias / non-canonical slug","301","YES"
"/developer/uuid-generator","/developer/online-uuid-generator","Category alias / non-canonical slug","301","YES"
"/education/gpa-calculator","/education/online-gpa-calculator","Category alias / non-canonical slug","301","YES"
"/finance/amortization-calculator","/finance/online-amortization-calculator","Category alias / non-canonical slug","301","YES"
"/finance/cagr-calculator","/finance/online-cagr-calculator","Category alias / non-canonical slug","301","YES"
"/finance/car-loan-calculator","/finance/online-car-loan-calculator","Category alias / non-canonical slug","301","YES"
"/finance/compound-interest-calculator","/finance/online-compound-interest-calculator","Category alias / non-canonical slug","301","YES"
"/finance/currency-exchange-calculator","/finance/online-currency-exchange-calculator","Category alias / non-canonical slug","301","YES"
"/finance/debt-to-income-calculator","/finance/online-debt-to-income-calculator","Category alias / non-canonical slug","301","YES"
"/finance/inflation-calculator","/finance/online-inflation-calculator","Category alias / non-canonical slug","301","YES"
"/finance/loan-emi-calculator","/finance/online-loan-emi-calculator","Category alias / non-canonical slug","301","YES"
"/finance/loan-to-value-calculator","/finance/online-loan-to-value-calculator","Category alias / non-canonical slug","301","YES"
"/finance/mortgage-payment-calculator","/finance/online-mortgage-payment-calculator","Category alias / non-canonical slug","301","YES"
"/finance/retirement-calculator","/finance/online-retirement-calculator","Category alias / non-canonical slug","301","YES"
"/finance/roi-calculator","/finance/online-roi-calculator","Category alias / non-canonical slug","301","YES"
"/finance/salary-calculator","/finance/online-salary-calculator","Category alias / non-canonical slug","301","YES"
